class,classsize,classtype,bugsAftersmells,bugsbeforesmells,fixnigcommits,codechurn,commitsexhibiting,v1.5.0,v1.5.1.1,v2.0.0,v2.0.2,v2.0.4,v2.1.1,v2.1.3,v2.2.1,v2.2.2,v2.3.0,v2.5.0,v2.6.2,v2.7.0,v2.8.2,v2.8.5,v2.9.0,v3.0.1,v3.0.3,v3.0.5,v3.1.1,v3.1.2,v3.1.4,v3.2.1,v3.3.2,v3.4.2,v3.5.0,v3.5.2,v.6.1,v3.7.29,v3.8.0,v3.8.2,v3.8.5,v3.8.8,v3.8.20,v3.9.0,v3.9.9,v3.9.14,v3.9.18,v3.9.19,v4.0.0,v4.0.24,v4.1.1,v4.1.3,v4.1.5,v4.1.7,v4.2.5,v4.2.12,v4.3.3,v4.3.5,v4.3.7,v4.3.9,v4..4.0,v4.4.3,v4.4.5,v4.4.12,v4.5.1,v4.6.0,v4.6.4,v4.6.7,v4.7.0,v4.7.12,v4.8.1,v4.8.5,v4.9.1,v4.9.7,v4.9.8,v5.0.3,v5.0.5,v5.2.0,v5.2.1,v5.2.2,v5.2.3,v5.2.4,v5.3.2
index.php,117,Medium,106,40,7,864,13,108,47,0,0,409,41,0,0,0,65,0,0,118,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wp-activate.php,643,Large,8,3,1,17,2,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wp-admin/about.php,13,Small,60,49,7,1318,17,0,0,0,0,0,0,0,0,0,0,0,0,24,37,80,0,0,0,0,0,146,0,633,303,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wp-admin/admin-ajax.php,643,Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wp-admin/admin-footer.php,40,Small,17,7,4,138,5,12,87,0,0,21,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wp-admin/admin-header.php,60,Large,150,112,10,1308,26,319,112,0,0,64,78,111,138,0,106,0,0,117,118,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wp-admin/admin-post.php,7226,Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wp-admin/admin.php,32,Small,48,11,5,341,6,0,33,0,0,121,0,18,27,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wp-admin/async-upload.php,379,Large,18,1,1,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wp-admin/bookmarklet.php,107,Medium,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
