files,LocFixing,ChurnFxing,AddedFixing,RemovedFixing
index.php,19,1,0,1
wp-activate.php,231,1,1,0
wp-admin/about.php,187,5,3,2
wp-admin/admin-ajax.php,285,1,1,0
wp-admin/admin-footer.php,98,1,1,0
wp-admin/admin-header.php,354,1,1,0
wp-admin/admin-post.php,168,1,1,0
wp-admin/admin.php,112,1,1,0
wp-admin/async-upload.php,143,3,2,1
wp-admin/bookmarklet.php,155,5,3,2
wp-admin/categories.php,43,2,1,1
wp-admin/comment.php,72,10,4,6
wp-admin/credits.php,194,2,1,1
wp-admin/custom-background.php,223,2,2,0
wp-admin/custom-header.php,256,2,2,0
wp-admin/customize.php,92,2,1,1
wp-admin/edit-comments.php,231,2,1,1
wp-admin/edit-form-advanced.php,173,2,1,1
wp-admin/edit-form-blocks.php,268,2,1,1
wp-admin/edit-form-comment.php,98,2,1,1
wp-admin/edit-form.php,354,4,2,2
wp-admin/edit-link-form.php,168,2,1,1
wp-admin/edit-page-form.php,112,4,2,2
wp-admin/edit-pages.php,1190,7,7,0
wp-admin/edit-tag-form.php,142,2,1,1
wp-admin/edit-tags.php,1193,4,4,0
wp-admin/edit.php,133,4,2,2
wp-admin/erase-personal-data.php,8,10,5,5
wp-admin/export-personal-data.php,218,99,98,1
wp-admin/export.php,137,5,3,2
wp-admin/freedoms.php,252,40,37,3
wp-admin/import-b2.php,296,8,4,4
wp-admin/import-blogger.php,68,8,4,4
wp-admin/import-greymatter.php,316,4,3,1
wp-admin/import-livejournal.php,260,36,21,15
wp-admin/import-mt.php,22,8,6,2
wp-admin/import-rss.php,260,4,2,2
wp-admin/import-textpattern.php,155,2,1,1
wp-admin/import.php,155,2,1,1
wp-admin/includes/admin-filters.php,1196,9,6,3
wp-admin/includes/admin.php,1200,4,3,1
wp-admin/includes/ajax-actions.php,297,5,4,1
wp-admin/includes/bookmark.php,13,2,1,1
/includes/class-automatic-upgrader-skin.php,1200,6,3,3
/includes/class-bulk-plugin-upgrader-skin.php,24,6,3,3
/includes/class-bulk-theme-upgrader-skin.php,297,2,1,1
wp-admin/includes/class-bulk-upgrader-skin.php,1200,2,1,1
