fles,LocFixing,ChurnFxing,AddedFixing,RemovedFixing
administrator/components/comcontact/contact.php,96,9,5,4
/components/comcontact/controller.php,268,7,7,0
/comcontact/controllers/contact.php,89,22,9,13
/comcontact/controllers/contacts.php,113,3,2,1
/components/comcontact/helpers/contact.php,52,2,1,1
/components/comcontact/tables/contact.php,98,9,5,4
/comcontact/views/contact/view.html.php,139,2,1,1
/comcontact/views/contacts/view.html.php,44,5,3,2
administrator/components/comcontent/content.php,34,7,4,3
/components/comcontent/controller.php,32,9,5,4
/comcontent/controllers/article.php,32,9,5,4
/comcontent/controllers/articles.php,229,6,2,4
/comcontent/controllers/featured.php,56,5,3,2
/components/comcontent/helpers/content.php,139,6,3,3
/comcontent/views/article/tmpl/edit.php,164,2,1,1
/comcontent/views/article/view.html.php,59,41,14,27
/comcontent/views/articles/tmpl/modal.php,139,12,12,0
/comcontent/views/articles/view.html.php,57,2,1,1
/comcontent/views/featured/view.html.php,44,4,2,2
/components/comcpanel/controller.php,33,5,2,3
administrator/components/comcpanel/cpanel.php,31,5,2,3
/comcpanel/views/cpanel/view.html.php,31,5,2,3
/components/comfinder/controller.php,49,34,16,18
/components/comfinder/controllers/filter.php,229,8,4,4
/components/comfinder/controllers/filters.php,54,30,14,16
/components/comfinder/controllers/index.php,166,24,23,1
/comfinder/controllers/indexer.json.php,59,4,4,0
/components/comfinder/controllers/maps.php,178,2,1,1
administrator/components/comfinder/finder.php,92,21,10,11
/components/comfinder/helpers/finder.php,80,56,24,32
/comfinder/helpers/indexer/adapter.php,31,20,1,19
/comfinder/helpers/indexer/helper.php,230,29,1,28
/comfinder/helpers/indexer/indexer.php,260,39,3,36
/comfinder/helpers/indexer/query.php,80,59,35,24
/comfinder/helpers/indexer/taxonomy.php,60,86,58,28
/components/comfinder/helpers/language.php,163,97,59,38
/components/comfinder/models/indexer.php,164,74,44,30
/components/comfinder/models/statistics.php,106,91,57,34
/components/comfinder/tables/filter.php,46,4,2,2
/components/comfinder/tables/link.php,91,2,1,1
/components/comfinder/tables/map.php,40,10,5,5
/comfinder/views/filter/view.html.php,103,2,1,1
/comfinder/views/filters/view.html.php,100,4,2,2
/comfinder/views/index/tmpl/default.php,168,12,6,6
/comfinder/views/index/view.html.php,180,14,8,6
/comfinder/views/indexer/view.html.php,84,54,28,26
/comfinder/views/maps/tmpl/default.php,111,1,1,0
/comfinder/views/maps/view.html.php,19,13,7,6
/comfinder/views/statistics/view.html.php,96,1,1,0
/components/cominstaller/controller.php,96,1,1,0
/cominstaller/controllers/database.php,16,9,5,4
/cominstaller/controllers/discover.php,185,2,1,1
/cominstaller/controllers/install.php,90,3,2,1
/cominstaller/controllers/languages.php,55,39,22,17
/cominstaller/controllers/manage.php,21,2,1,1
/cominstaller/controllers/update.php,108,8,4,4
/cominstaller/helpers/html/manage.php,100,4,2,2
/cominstaller/helpers/installer.php,452,18,9,9
/components/cominstaller/installer.php,55,2,1,1
/cominstaller/models/fields/group.php,25,76,38,38
/cominstaller/models/fields/type.php,131,6,3,3
/components/cominstaller/models/install.php,12,2,1,1
/components/cominstaller/models/languages.php,40,8,5,3
/components/cominstaller/models/manage.php,6,2,1,1
/components/cominstaller/models/update.php,129,2,1,1
/components/cominstaller/models/warnings.php,97,2,1,1
/cominstaller/views/database/view.html.php,99,2,1,1
/cominstaller/views/default/view.php,99,2,1,1
/views/discover/tmpl/defaultitem.php,186,2,1,1
/cominstaller/views/discover/view.html.php,218,6,3,3
/cominstaller/views/install/view.html.php,159,4,3,1
/views/languages/tmpl/default.php,189,4,4,0
/views/languages/tmpl/defaultfilter.php,128,22,11,11
/cominstaller/views/languages/view.html.php,100,4,2,2
/cominstaller/views/manage/tmpl/default.php,80,5,1,4
/cominstaller/views/manage/view.html.php,133,3,2,1
/cominstaller/views/update/tmpl/default.php,18,1,1,0
/cominstaller/views/warnings/view.html.php,23,4,3,1
/components/comjoomlaupdate/controller.php,25,3,2,1
/comjoomlaupdate/controllers/update.php,28,1,1,0
/comjoomlaupdate/helpers/download.php,17,3,2,1
/comjoomlaupdate/helpers/joomlaupdate.php,16,3,2,1
/comjoomlaupdate/helpers/select.php,46,3,2,1
/components/comjoomlaupdate/joomlaupdate.php,17,3,2,1
/comjoomlaupdate/models/default.php,16,3,2,1
/components/comjoomlaupdate/restore.php,31,1,1,0
/views/default/tmpl/complete.php,69,3,2,1
/views/default/tmpl/default.php,26,1,1,0
/comjoomlaupdate/views/default/view.html.php,188,1,0,1
/views/update/tmpl/default.php,128,12,6,6
/comjoomlaupdate/views/update/view.html.php,26,5,3,2
/components/comlanguages/controller.php,98,53,22,31
/comlanguages/controllers/installed.php,134,11,6,5
/comlanguages/controllers/languages.php,75,5,5,0
/comlanguages/controllers/override.php,79,2,1,1
/comlanguages/controllers/overrides.php,212,15,12,3
/comlanguages/controllers/strings.json.php,204,15,3,12
/comlanguages/helpers/html/languages.php,131,14,12,2
/comlanguages/helpers/languages.php,146,45,43,2
/comlanguages/helpers/multilangstatus.php,165,2,1,1
/components/comlanguages/languages.php,146,4,2,2
/components/comlanguages/models/installed.php,80,2,1,1
