files,LocFixing,ChurnFxing,AddedFixing,RemovedFixing
src/Symfony/Component/Validator/Mapping/Loader/YamlFileLoader.php,243,2,1,1
tests/Symfony/Tests/Bridge/Doctrine/Form/Type/EntityTypeTest.php,206,4,4,0
tests/Symfony/Tests/Component/BrowserKit/CookieTest.php,157,91,81,10
tests/Symfony/Tests/Component/Console/ApplicationTest.php,168,10,10,0
tests/Symfony/Tests/Component/Console/Command/CommandTest.php,56,22,11,11
tests/Symfony/Tests/Component/DependencyInjection/DefinitionTest.php,55,1,0,1
tests/Symfony/Tests/Component/Form/Extension/Core/Type/DateTypeTest.php,838,6,3,3
tests/Symfony/Tests/Component/Form/Extension/Core/Type/TimeTypeTest.php,55,1,1,0
tests/Symfony/Tests/Component/Form/Extension/Validator/Validator/DelegatingValidatorTest.php,246,5,3,2
tests/Symfony/Tests/Component/Form/FormBuilderTest.php,111,2,1,1
tests/Symfony/Tests/Component/HttpFoundation/CookieTest.php,140,1,1,0
tests/Symfony/Tests/Component/Routing/Matcher/Dumper/PhpMatcherDumperTest.php,187,2,1,1
tests/Symfony/Tests/Component/Security/Http/RememberMe/PersistentTokenBasedRememberMeServicesTest.php,434,2,1,1
tests/Symfony/Tests/Component/Validator/Mapping/ClassMetadataTest.php,194,6,4,2
src/Symfony/Component/Console/Command/Command.php,94,1,1,0
src/Symfony/Component/Finder/Comparator/NumberComparator.php,141,7,7,0
src/Symfony/Component/Yaml/Inline.php,147,7,7,0
tests/Symfony/Tests/Component/Locale/Stub/StubNumberFormatterTest.php,39,1,1,0
tests/Symfony/Tests/Component/Security/Acl/Dbal/AclProviderBenchmarkTest.php,112,1,1,0
tests/Symfony/Tests/Component/Security/Acl/Dbal/MutableAclProviderTest.php,51,1,1,0
tests/Symfony/Tests/Component/Translation/MessageCatalogTest.php,89,1,1,0
src/Symfony/Bundle/DoctrineAbstractBundle/DependencyInjection/AbstractDoctrineExtension.php,368,3,3,0
src/Symfony/Bundle/DoctrineBundle/Registry.php,141,4,4,0
src/Symfony/Bundle/FrameworkBundle/Command/ContainerDebugCommand.php,739,24,22,2
src/Symfony/Bundle/SecurityBundle/DependencyInjection/SecurityExtension.php,190,8,8,0
src/Symfony/Component/Config/Definition/Builder/ExprBuilder.php,154,7,7,0
src/Symfony/Component/Console/Input/InputDefinition.php,363,9,9,0
src/Symfony/Component/Console/Input/InputOption.php,189,7,7,0
src/Symfony/Component/CssSelector/Node/FunctionNode.php,75,2,2,0
src/Symfony/Component/DependencyInjection/Compiler/CheckDefinitionValidityPass.php,157,10,5,5
src/Symfony/Component/DependencyInjection/Compiler/PassConfig.php,35,12,7,5
src/Symfony/Component/DependencyInjection/Compiler/RemoveUnusedDefinitionsPass.php,182,4,2,2
src/Symfony/Component/DependencyInjection/Compiler/ResolveDefinitionTemplatesPass.php,251,8,6,2
src/Symfony/Component/DependencyInjection/Compiler/ResolveInvalidReferencesPass.php,181,31,15,16
src/Symfony/Component/DependencyInjection/Dumper/XmlDumper.php,613,1,1,0
src/Symfony/Component/DependencyInjection/Dumper/YamlDumper.php,106,2,1,1
src/Symfony/Component/Form/Extension/Validator/Validator/DelegatingValidator.php,182,12,12,0
src/Symfony/Component/Form/FormFactory.php,176,40,39,1
src/Symfony/Component/Form/Util/PropertyPath.php,408,7,5,2
src/Symfony/Component/HttpFoundation/ParameterBag.php,373,2,1,1
src/Symfony/Component/HttpKernel/EventListener/ExceptionListener.php,95,2,1,1
src/Symfony/Component/HttpKernel/Profiler/Profiler.php,152,10,10,0
src/Symfony/Component/Locale/Stub/StubIntlDateFormatter.php,198,18,14,4
src/Symfony/Component/Routing/Matcher/UrlMatcher.php,139,3,2,1
src/Symfony/Component/Security/Acl/Dbal/AclProvider.php,71,3,3,0
src/Symfony/Component/Security/Acl/Dbal/MutableAclProvider.php,256,6,3,3
src/Symfony/Component/Security/Core/Authentication/Token/AbstractToken.php,191,3,2,1
src/Symfony/Component/Security/Http/Firewall/ContextListener.php,181,11,5,6
src/Symfony/Component/Security/Http/Firewall/SwitchUserListener.php,176,2,1,1
src/Symfony/Component/Validator/Constraint.php,434,4,2,2
src/Symfony/Component/Validator/Mapping/ClassMetadata.php,141,2,1,1
src/Symfony/Component/Validator/ValidatorFactory.php,267,2,1,1
tests/Symfony/Tests/Component/Console/Input/InputDefinitionTest.php,86,2,1,1
tests/Symfony/Tests/Component/Form/Extension/Core/DataTransformer/DateTimeToLocalizedStringTransformerTest.php,51,2,1,1
tests/Symfony/Tests/Component/Form/Extension/Core/DataTransformer/DateTimeToStringTransformerTest.php,60,6,3,3
