files,LocFixing,ChurnFxing,AddedFixing,RemovedFixing
src/Symfony/Bridge/Doctrine/Form/DataTransformer/EntitiesToArrayTransformer.php,187,2,1,1
src/Symfony/Bridge/Doctrine/Validator/Constraints/UniqueEntity.php,434,2,1,1
src/Symfony/Bridge/Monolog/Handler/FirePHPHandler.php,194,6,4,2
src/Symfony/Bundle/DoctrineBundle/Command/GenerateEntitiesDoctrineCommand.php,94,1,1,0
src/Symfony/Bundle/FrameworkBundle/Command/AssetsInstallCommand.php,141,7,7,0
src/Symfony/Bundle/FrameworkBundle/Command/CacheClearCommand.php,147,7,7,0
src/Symfony/Bundle/FrameworkBundle/ContainerAwareEventDispatcher.php,39,1,1,0
src/Symfony/Bundle/FrameworkBundle/Controller/RedirectController.php,112,1,1,0
src/Symfony/Bundle/FrameworkBundle/EventListener/RouterListener.php,51,1,1,0
src/Symfony/Bundle/FrameworkBundle/EventListener/TestSessionListener.php,89,1,1,0
src/Symfony/Bundle/FrameworkBundle/Templating/Helper/CodeHelper.php,368,3,3,0
src/Symfony/Bundle/FrameworkBundle/Templating/PhpEngine.php,141,4,4,0
src/Symfony/Bundle/FrameworkBundle/Tests/ContainerAwareEventDispatcherTest.php,739,24,22,2
src/Symfony/Bundle/FrameworkBundle/Tests/EventListener/RouterListenerTest.php,190,8,8,0
src/Symfony/Bundle/SecurityBundle/Tests/Functional/app/AppKernel.php,154,7,7,0
src/Symfony/Bundle/WebProfilerBundle/Controller/ProfilerController.php,363,9,9,0
src/Symfony/Component/ClassLoader/DebugUniversalClassLoader.php,189,7,7,0
src/Symfony/Component/Console/Helper/FormatterHelper.php,75,2,2,0
src/Symfony/Component/DependencyInjection/Exception/ExceptionInterface.php,157,10,5,5
src/Symfony/Component/DependencyInjection/Exception/InvalidArgumentException.php,35,12,7,5
src/Symfony/Component/DomCrawler/Field/FormField.php,182,4,2,2
src/Symfony/Component/EventDispatcher/Event.php,251,8,6,2
src/Symfony/Component/EventDispatcher/EventDispatcher.php,181,31,15,16
src/Symfony/Component/EventDispatcher/EventSubscriberInterface.php,613,1,1,0
src/Symfony/Component/Form/CallbackTransformer.php,106,2,1,1
src/Symfony/Component/Form/DataTransformerInterface.php,182,12,12,0
src/Symfony/Component/Form/Extension/Validator/ValidatorExtension.php,176,40,39,1
src/Symfony/Component/HttpFoundation/FileBag.php,408,7,5,2
src/Symfony/Component/HttpFoundation/RedirectResponse.php,373,2,1,1
src/Symfony/Component/HttpFoundation/ServerBag.php,95,2,1,1
src/Symfony/Component/HttpKernel/Controller/ControllerResolver.php,152,10,10,0
src/Symfony/Component/HttpKernel/Profiler/PdoProfilerStorage.php,198,18,14,4
src/Symfony/Component/HttpKernel/Profiler/SqliteProfilerStorage.php,139,3,2,1
src/Symfony/Component/Routing/Loader/AnnotationDirectoryLoader.php,71,3,3,0
src/Symfony/Component/Security/Core/User/ChainUserProvider.php,256,6,3,3
src/Symfony/Component/Security/Http/EntryPoint/DigestAuthenticationEntryPoint.php,191,3,2,1
src/Symfony/Component/Security/Http/HttpUtils.php,181,11,5,6
src/Symfony/Component/Serializer/Encoder/NormalizationAwareInterface.php,176,2,1,1
src/Symfony/Component/Translation/Interval.php,434,4,2,2
src/Symfony/Component/Translation/Loader/XliffFileLoader.php,141,2,1,1
src/Symfony/Component/Translation/Loader/YamlFileLoader.php,267,2,1,1
src/Symfony/Component/Translation/MessageCatalogue.php,86,2,1,1
src/Symfony/Component/Translation/MessageCatalogueInterface.php,51,2,1,1
src/Symfony/Component/Translation/MessageSelector.php,60,6,3,3
src/Symfony/Component/Translation/Translator.php,368,2,1,1
src/Symfony/Component/Validator/Constraints/AllValidator.php,739,10,5,5
src/Symfony/Component/Validator/Constraints/BlankValidator.php,191,6,3,3
