files,LocFixing,ChurnFxing,AddedFixing,RemovedFixing
lib/Cake/Controller/Component/AuthComponent.php,324,5,3,2
lib/Cake/Controller/Component/RequestHandlerComponent.php,300,8,5,3
lib/Cake/Error/ExceptionRenderer.php,444,11,2,9
lib/Cake/Model/Datasource/Database/Sqlite.php,330,2,1,1
lib/Cake/Network/CakeResponse.php,231,39,38,1
lib/Cake/Test/Case/Console/ConsoleOutputTest.php,178,9,9,0
/Test/Case/Controller/Component/RequestHandlerComponentTest.php,439,2,1,1
lib/Cake/Test/Case/Error/ExceptionRendererTest.php,138,13,6,7
lib/Cake/TestSuite/ControllerTestCase.php,404,37,33,4
lib/Cake/View/Helper/CacheHelper.php,102,13,13,0
lib/Cake/basics.php,415,2,1,1
lib/Cake/Console/Command/AclShell.php,482,1,1,0
lib/Cake/Console/Command/SchemaShell.php,673,3,2,1
lib/Cake/Console/Command/Task/ControllerTask.php,416,25,18,7
lib/Cake/Console/Command/Task/DbConfigTask.php,308,17,17,0
lib/Cake/Console/Command/Task/FixtureTask.php,447,18,13,5
lib/Cake/Console/Command/Task/ModelTask.php,250,2,1,1
lib/Cake/Console/Command/Task/ViewTask.php,189,2,1,1
lib/Cake/Console/Command/UpgradeShell.php,253,3,0,3
lib/Cake/Console/ConsoleOptionParser.php,131,7,2,5
lib/Cake/Console/Shell.php,177,2,0,2
lib/Cake/Controller/Component/EmailComponent.php,117,3,0,3
lib/Cake/Controller/Component/PaginatorComponent.php,146,3,0,3
lib/Cake/Controller/Component/SecurityComponent.php,62,4,1,3
lib/Cake/Controller/Controller.php,180,2,0,2
lib/Cake/Core/App.php,208,2,1,1
lib/Cake/Core/Configure.php,781,27,22,5
lib/Cake/Error/ErrorHandler.php,444,2,1,1
lib/Cake/Model/AclNode.php,142,4,2,2
lib/Cake/Model/Behavior/TranslateBehavior.php,916,6,0,6
lib/Cake/Model/BehaviorCollection.php,1769,2,1,1
lib/Cake/Model/Datasource/CakeSession.php,547,2,1,1
lib/Cake/Model/Datasource/Database/Postgres.php,1883,2,1,1
lib/Cake/Model/Datasource/Database/Sqlserver.php,381,14,11,3
lib/Cake/Model/Datasource/DboSource.php,292,2,1,1
lib/Cake/Model/Model.php,1908,38,20,18
lib/Cake/Network/CakeRequest.php,187,11,9,2
lib/Cake/Network/Email/CakeEmail.php,569,2,1,1
lib/Cake/Network/Http/HttpSocket.php,177,2,1,1
lib/Cake/Routing/Route/CakeRoute.php,467,3,3,0
