files,LocFixing,ChurnFxing,AddedFixing,RemovedFixing
config/global.ini.php,329,1,1,0
core/Updates/0.9.1.php,145,1,1,0
core/Version.php,158,23,20,3
plugins/Dashboard/Controller.php,68,9,7,2
core/API/DataTableGenericFilter.php,68,3,2,1
core/API/Proxy.php,31,2,0,2
core/API/Request.php,10,81,9,72
core/API/ResponseBuilder.php,10,81,9,72
core/Access.php,21,10,2,8
core/Archive/Array.php,19,9,5,4
core/Archive/Array/IndexedBySite.php,10,8,6,2
core/ArchiveProcessing/Record.php,10,8,6,2
core/ArchiveProcessing/Record/Blob.php,74,1,0,1
core/ArchiveProcessing/Record/Numeric.php,21,4,3,1
core/ArchiveProcessing/RecordArray.php,332,3,3,0
core/AssetManager.php,108,2,1,1
core/Auth.php,850,23,19,4
core/CacheFile.php,864,5,3,2
core/Config.php,1197,16,8,8
core/Cookie.php,865,9,5,4
core/DataFiles/Countries.php,864,2,1,1
core/DataFiles/Currencies.php,918,6,5,1
core/DataFiles/Languages.php,922,6,6,0
core/DataFiles/SearchEngines.php,922,4,2,2
core/DataTable/Array.php,823,13,7,6
/Filter/AddColumnsProcessedMetrics.php,137,4,2,2
core/DataTable/Filter/AddConstantMetadata.php,410,3,3,0
core/DataTable/Filter/AddSummaryRow.php,1197,132,66,66
/Filter/ColumnCallbackAddColumnQuotient.php,1197,132,66,66
/Filter/ColumnCallbackAddMetadata.php,364,20,20,0
/Filter/ColumnCallbackDeleteRow.php,364,20,20,0
core/DataTable/Filter/ColumnCallbackReplace.php,413,7,5,2
core/DataTable/Filter/ColumnDelete.php,82,7,6,1
core/DataTable/Filter/ExcludeLowPopulation.php,61,15,15,0
core/DataTable/Filter/Limit.php,44,2,1,1
/Filter/MetadataCallbackAddMetadata.php,273,116,64,52
core/DataTable/Filter/Null.php,1203,10,8,2
core/DataTable/Filter/Pattern.php,38,33,33,0
core/DataTable/Filter/PatternRecursive.php,331,2,1,1
core/DataTable/Filter/ReplaceColumnNames.php,273,2,1,1
/DataTable/Filter/ReplaceSummaryRowLabel.php,42,3,2,1
core/DataTable/Filter/SafeDecodeLabel.php,37,3,2,1
core/DataTable/Filter/Sort.php,331,2,1,1
core/DataTable/Filter/Truncate.php,388,29,19,10
core/DataTable/Manager.php,388,29,19,10
core/DataTable/Renderer.php,336,5,5,0
core/DataTable/Renderer/Json.php,392,3,2,1
core/DataTable/Renderer/Php.php,392,3,2,1
core/Db/Adapter.php,163,2,1,1
core/Db/Adapter/Mysqli.php,49,2,1,1
core/Db/Adapter/Pdo/Mysql.php,29,2,1,1
core/HTMLPurifier.php,52,17,14,3
core/Log/APICall.php,70,19,15,4
core/Log/Message.php,95,2,2,0
core/Mail.php,11,3,2,1
core/Menu/Abstract.php,11,3,2,1
core/Menu/Admin.php,340,6,5,1
core/Menu/Main.php,341,13,7,6
core/Menu/Top.php,44,14,8,6
core/Nonce.php,1206,7,5,2
