files,LocFixing,ChurnFxing,AddedFixing,RemovedFixing
libs/Zend/Log.php,259,9,3,6
libs/Zend/Log/Writer/Mail.php,1770,1,1,0
libs/Zend/Mail.php,651,55,17,38
libs/Zend/Mail/Part.php,807,24,0,24
libs/Zend/Mail/Part/File.php,584,301,301,0
libs/Zend/Mail/Protocol/Imap.php,580,96,0,96
libs/Zend/Mail/Protocol/Pop3.php,58,2,2,0
libs/Zend/Mail/Protocol/Smtp.php,816,19,18,1
libs/Zend/Mail/Storage/Abstract.php,595,17,17,0
libs/Zend/Mail/Storage/Folder/Maildir.php,55,7,6,1
libs/Zend/Mail/Storage/Imap.php,651,2,1,1
libs/Zend/Mail/Storage/Maildir.php,147,3,2,1
libs/Zend/Mail/Storage/Mbox.php,822,3,2,1
libs/Zend/Mail/Storage/Writable/Maildir.php,160,7,3,4
libs/Zend/Mime/Decode.php,379,14,6,8
libs/Zend/Mime/Message.php,50,6,4,2
libs/Zend/Mime/Part.php,200,3,2,1
libs/Zend/OpenId.php,301,26,15,11
libs/Zend/OpenId/Consumer.php,49,3,1,2
libs/Zend/OpenId/Consumer/Storage/File.php,366,66,45,21
libs/Zend/OpenId/Extension/Sreg.php,245,19,15,4
libs/Zend/OpenId/Provider.php,128,7,6,1
libs/Zend/OpenId/Provider/Storage/File.php,86,40,17,23
libs/Zend/Session.php,1590,162,78,84
libs/Zend/Session/Namespace.php,737,1698,844,854
libs/Zend/Session/SaveHandler/DbTable.php,1695,4853,2427,2426
libs/Zend/Uri.php,17988,45333,24382,20951
libs/Zend/Uri/Http.php,366,2,1,1
libs/Zend/Validate.php,469,2,1,1
libs/Zend/Validate/Abstract.php,242,80,21,59
libs/Zend/Validate/Barcode/AdapterAbstract.php,659,73,40,33
libs/Zend/Validate/CreditCard.php,1138,1,1,0
libs/Zend/Validate/Date.php,744,26,21,5
libs/Zend/Validate/Db/Abstract.php,270,38,32,6
libs/Zend/Validate/EmailAddress.php,142,80,53,27
libs/Zend/Validate/File/Count.php,595,18,15,3
libs/Zend/Validate/File/ExcludeMimeType.php,152,24,16,8
