class,classsize,classtype,bugsAftersmells,BugsBeforeSmells,FixingCommits,codechurn,commitsexhibting,v1.0.0,v1.4.0,v1.6.0,v1.8.0,v1.1.0,v2.0.0,v2.2.1,v2.3.0,v2.4.1,v2.6.1,v2.8.3,v2.11.2,v2.12.1,v2.14.0,v2.14.1,v2.15.0,v2.16.4,v2.16.5,v2.17.1,v2.18.0,v3.0.0,v3.1.1,v3.2.0,v3.2.1,v3.3.0,v3.4.0,v3.5.0,v3.5.1,v3.6.0,v3.7.0,v3.8.0,v3.8.1,v3.9.0,v3.9.1,v3.10.0,v3.12.0,v3.13.0,v3.13.1
core/Http.php,909,Large,52,3,2,76,3,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core/IP.php,191,Medium,35,6,4,743,5,334,239,50,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core/Loader.php,141,Medium,6,4,1,32,2,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core/Log.php,256,Medium,43,22,2,69,6,15,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core/Log/Error.php,226,Medium,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core/Period/Range.php,556,Large,30,11,4,304,7,109,0,0,0,134,0,0,0,0,33,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core/Piwik.php,842,Large,225,87,9,1279,18,124,116,70,84,144,92,0,0,0,257,0,0,0,0,0,0,0,0,0,218,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core/Plugin.php,16,Small,12,2,2,52,2,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core/PluginsManager.php,680,Large,50,26,3,237,6,91,0,0,68,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core/ProxyHeaders.php,87,Medium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core/ReportRenderer/Pdf.php,556,Large,40,9,4,1880,6,0,934,143,66,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core/SegmentExpression.php,484,Large,8,3,2,93,2,0,0,25,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core/Session.php,883,Large,35,7,3,163,4,0,57,0,0,0,46,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core/SmartyPlugins/modifier.escape.php,93,Medium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core/TaskScheduler.php,120,Medium,18,7,3,11854,4,0,0,97,0,11540,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core/Tracker.php,342,Large,166,63,7,1768,19,68,28,0,71,346,186,0,0,95,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core/Tracker/Db.php,286,Medium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core/Tracker/GoalManager.php,298,Medium,99,38,7,3203,18,90,530,0,0,105,51,0,0,0,2158,127,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core/Tracker/Visit.php,38,Small,272,82,10,1818,26,168,69,345,76,403,95,193,0,0,0,103,104,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core/Updates.php,164,Medium,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
