modified_Smelly_Classes,classsize,classtype,BugsafterSmells,BugsbeforeSmells,fixingcommits,codechurn,commitsexhibiting,v2.0.2,v2.0.6,v2.1.3,v2.1.4,v2.2.3,v2.2.4,v2.3.9,v2.3.10,v2.5.0,v2.5.4,v2.5.6,v2.5.7,v2.6.11,v2.7.8,v2.8.8,v2.9.1,v2.9.3,v2.10.9,v2.10.14,v2.10.17,v2.10.19,v3.1.6,v3.3.4,v3.4.8,v3.5.3,v3.6.2
lib/Cake/Model/Datasource/Database/Postgres.php,131,Medium,31,3,3,67,3,0,0,0,0,0,0,0,0,0,0,0,28,0,0,23,16,0,0,0,0,0,0,0,0,0,0
lib/Cake/Model/Datasource/Database/Sqlserver.php,784,Large,26,3,2,155,2,0,0,41,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Model/Datasource/DboSource.php,3156,Large,81,10,6,209,6,0,0,0,0,19,0,53,0,31,0,0,0,0,13,0,72,0,0,21,0,0,0,0,0,0,0
lib/Cake/Model/Model.php,3925,Large,93,10,5,974,5,0,15,428,0,0,0,434,0,30,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Network/CakeRequest.php,1026,Large,46,14,4,109,7,0,0,38,0,0,0,17,0,10,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Network/Email/CakeEmail.php,1758,Large,54,7,2,1757,3,0,1599,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Network/Http/HttpSocket.php,1032,Large,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Routing/Route/CakeRoute.php,549,Large,23,14,2,54,5,0,0,0,0,0,0,0,0,32,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Routing/Router.php,1273,Large,18,1,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Cache/Engine/FileEngineTest.php,553,Large,10,2,1,23,1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Console/Command/Task/FixtureTaskTest.php,453,Large,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Console/ConsoleOptionParserTest.php,646,Large,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Controller/Component/EmailComponentTest.php,884,Large,14,2,1,150,1,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Controller/Component/PaginatorComponentTest.php,1194,Large,23,6,3,89,4,0,0,0,20,0,0,34,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Controller/Component/SecurityComponentTest.php,1987,Large,19,3,1,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Controller/ControllerTest.php,1489,Large,18,1,1,6,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Core/ConfigureTest.php,484,Large,9,2,2,60,2,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Model/Behavior/TranslateBehaviorTest.php,1018,Large,13,5,3,675,3,0,0,330,0,0,0,0,0,41,0,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Model/BehaviorCollectionTest.php,1268,Large,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Model/Datasource/Database/PostgresTest.php,945,Large,16,3,2,68,2,0,0,37,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Model/Datasource/Database/SqlserverTest.php,695,Large,17,1,1,31,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Model/Datasource/DboSourceTest.php,1860,Large,11,4,3,216,3,0,163,0,0,0,0,0,0,21,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Model/ModelIntegrationTest.php,2513,Large,14,3,2,280,2,0,263,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Model/ModelValidationTest.php,764,Large,7,1,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Model/ModelWriteTest.php,8306,Large,55,15,5,1867,6,0,574,987,0,0,0,0,0,160,0,0,0,0,41,105,0,0,0,0,0,0,0,0,0,0,0
