modified_Smelly_Classes,LocFixing,ChurnFxing,AddedFixing,RemovedFixing
phpBB/phpbb/feed/controller/feed.php,236,2,1,1
phpBB/phpbb/feed/topic.php,129,2,1,1
phpBB/phpbb/finder.php,262,2,1,1
phpBB/phpbb/install/console/command/install/install.php,250,9,5,4
phpBB/phpbb/install/console/command/update/update.php,1027,18,9,9
phpBB/phpbb/install/helper/database.php,967,2,1,1
phpBB/phpbb/install/installer.php,1041,29,18,11
phpBB/phpbb/report/controller/report.php,200,117,96,21
phpBB/phpbb/routing/helper.php,1468,2,1,1
phpBB/phpbb/routing/router.php,232,2,1,1
phpBB/phpbb/textformatter/s9e/factory.php,1457,569,404,165
tests/console/user/base.php,1040,42,17,25
phpBB/phpbb/captcha/gd.php,1471,11,8,3
phpBB/phpbb/files/filespec.php,404,15,8,7
phpBB/phpbb/filesystem/filesystem.php,404,2,1,1
phpBB/phpbb/language/language.php,302,10,5,5
phpBB/phpbb/search/sphinx/config.php,310,18,15,3
tests/notification/base.php,1037,17,9,8
phpBB/phpbb/db/migration/data/v310/dev.php,971,12,9,3
phpBB/phpbb/db/tools/postgres.php,1469,2,1,1
phpBB/phpbb/textformatter/s9e/parser.php,981,21,14,7
phpBB/phpbb/group/helper.php,299,20,16,4
