modified_Smelly_Classes,classsize,classtype,BugsAfterSmells,BugsBeforeSmells,FixingCommits,codechurn,commitsexhibiting,v3.0.0,v3.0.2,v3.1.0,v3.1.1,v3.1.2,v3.1.3,v3.1.5,v3.1.6,v3.1.8,v3.1.9,v3.2.0,v3.2.3,v3.2.4,v3.2.5,v3.2.6,v3.2.7,v3.2.8,v3.2.9,v3.2.10,v3.2.12,v3.2.13,v3.2.14
laravel/bundle.php,475,Large,1,1,1,50,1,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laravel/database/query.php,884,Large,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laravel/database/schema/grammars/mysql.php,421,Large,5,3,2,91,1,71,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
laravel/database/schema/grammars/postgres.php,406,Large,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laravel/database/schema/grammars/sqlserver.php,424,Large,2,1,1,11,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
laravel/database/schema/table.php,424,Large,2,2,1,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laravel/file.php,86,Medium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laravel/html.php,449,Large,3,3,2,84,2,0,0,0,0,0,0,0,57,0,0,0,0,27,0,0,0,0,0,0,0,0,0
laravel/response.php,1112,Large,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laravel/routing/route.php,418,Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laravel/routing/router.php,594,Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laravel/str.php,379,Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laravel/validator.php,1210,Large,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laravel/view.php,588,Large,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laravel/database/connection.php,336,Large,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laravel/database/eloquent/model.php,14,Small,14,5,2,158,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0
laravel/form.php,618,Large,10,1,1,240,1,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laravel/request.php,1413,Large,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
