files,LocFixing,ChurnFxing,AddedFixing,RemovedFixing
auth/ldap/ntlmssoattempt.php,172,5,3,2
auth/ldap/ntlmssomagic.php,274,4,2,2
auth/shibboleth/login.php,48,16,4,12
backup/util/helper/backupcronhelper.class.php,237,2,1,1
blocks/feedback/blockfeedback.php,180,2,1,1
cohort/editform.php,4,2,1,1
lib/filestorage/zippacker.php,91,7,6,1
mod/data/view.php,376,2,1,1
mod/feedback/complete.php,75,30,29,1
mod/feedback/completeguest.php,163,74,44,30
mod/feedback/item/feedbackitemclass.php,171,4,2,2
version.php,335,4,2,2
admin/blocks.php,44,2,1,1
admin/cli/install.php,228,8,8,0
admin/cli/installdatabase.php,44,2,1,1
admin/cron.php,183,3,2,1
admin/handlevirus.php,109,135,87,48
admin/index.php,55,2,1,1
admin/settings/courses.php,295,2,1,1
admin/settings/plugins.php,83,18,15,3
admin/settings/security.php,104,4,2,2
admin/webservice/documentation.php,136,1,1,0
auth/cas/lang/en/authcas.php,147,2,1,1
backup/backup.php,228,4,2,2
backup/backupscheduled.php,4,3,1,2
backup/controller/backupcontroller.class.php,1794,1,1,0
backup/moodle2/backupcoursetask.class.php,131,2,1,1
backup/moodle2/backupstepslib.php,853,2,1,1
backup/moodle2/restorecoursetask.class.php,273,50,50,0
backup/moodle2/restorestepslib.php,389,1,1,0
backup/util/checks/backupcheck.class.php,173,17,6,11
backup/util/checks/restorecheck.class.php,434,52,49,3
/dbops/backupcontrollerdbops.class.php,49,6,4,2
backup/util/dbops/backupplandbops.class.php,236,23,20,3
backup/util/ui/importextensions.php,193,16,15,1
backup/util/ui/restoreuicomponents.php,226,2,2,0
blocks/community/lang/en/blockcommunity.php,194,7,4,3
blocks/courselist/blockcourselist.php,44,3,3,0
blocks/html/blockhtml.php,227,3,2,1
blocks/html/editform.php,231,2,2,0
blocks/rssclient/editfeed.php,447,5,5,0
blocks/search/blocksearch.php,187,14,12,2
blog/editform.php,205,7,4,3
blog/simpletest/testbloglib.php,99,2,1,1
calendar/exportexecute.php,240,4,3,1
calendar/preferences.php,411,3,2,1
calendar/view.php,313,2,1,1
cohort/edit.php,447,4,2,2
cohort/index.php,50,18,0,18
configdist.php,46,17,0,17
course/category.php,34,17,0,17
course/completionform.php,79,17,0,17
course/delete.php,279,18,0,18
course/deletecategoryform.php,104,17,0,17
course/edit.php,33,17,0,17
course/editform.php,74,17,0,17
course/editcategory.php,95,1,0,1
course/editcategoryform.php,164,16,9,7
course/format/topics/format.php,104,18,16,2
course/format/topics/lib.php,159,103,103,0
course/format/weeks/format.php,99,32,32,0
course/format/weeks/lib.php,1079,2,1,1
course/info.php,20,10,10,0
course/modduplicate.php,28,10,9,1
course/moodleformmod.php,36,2,1,1
course/publish/index.php,169,2,2,0
course/publish/metadata.php,177,2,1,1
course/recentform.php,1796,2,2,0
course/report/completion/index.php,108,7,3,4
course/report/log/graph.php,430,6,2,4
course/report/progress/index.php,766,2,2,0
course/report/stats/report.php,141,10,7,3
course/rest.php,245,2,1,1
course/user.php,447,6,3,3
enrol/manual/lib.php,524,8,4,4
enrol/meta/addinstanceform.php,184,3,1,2
enrol/paypal/ipn.php,25,9,7,2
enrol/paypal/return.php,33,9,7,2
files/coursefilesedit.php,213,1,1,0
filter/localsettingsform.php,206,1,1,0
/mediaplugin/lang/en/filtermediaplugin.php,216,1,1,0
grade/edit/outcome/edit.php,199,2,1,1
grade/edit/scale/edit.php,648,1,1,0
grade/export/ods/gradeexportods.php,100,7,5,2
grade/export/txt/gradeexporttxt.php,379,1,1,0
grade/export/txt/index.php,83,37,37,0
grade/export/xls/gradeexportxls.php,97,20,20,0
grade/export/xml/gradeexportxml.php,237,7,4,3
grade/import/csv/index.php,461,11,10,1
grade/report/index.php,320,4,3,1
grade/report/overview/lib.php,97,10,10,0
group/index.php,516,4,2,2
group/overview.php,191,2,1,1
install/lang/ms/moodle.php,213,2,1,1
lang/en/admin.php,311,17,16,1
lang/en/auth.php,349,62,42,20
lang/en/error.php,193,5,5,0
lang/en/filters.php,441,10,4,6
lang/en/grades.php,96,1,1,0
lang/en/message.php,142,22,13,9
lang/en/moodle.org.php,61,2,1,1
lang/en/moodle.php,135,2,1,1
lang/en/question.php,44,2,1,1
lang/en/repository.php,238,2,1,1
lang/en/search.php,256,3,2,1
lang/en/webservice.php,437,6,4,2
lib/completion/completioncriteriaactivity.php,464,16,11,5
lib/completion/completioncriteriacourse.php,308,6,3,3
lib/completion/completioncriteriaduration.php,228,1,1,0
lib/db/access.php,190,3,2,1
