modified_Smelly_Classes,classsize,classtype,BugsAftereSmells,BugsbeforeSmells,FixingCommits,codechurn,commitsexhibiting,v2.0.10,v2.1.2,v2.1.9,v2.2.0,v2.2.1,v2.2.5,v2.3.3,v2.3.10,v2.5.3,v2.5.5,v2.5.7,v2.5.9,v2.6.0,v2.6.2,v2.6.3,v2.6.6,v2.6.9,v2.8.0,v2.9.9,v3.0.8,v3.1.2,v3.1.6,v3.1.7,v3.1.9,v3.1.11,v3.2.0,v3.2.2,v3.4.0,v3.5.0,v3.8.1
blog/rsslib.php,209,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calendar/lib.php,138,Medium,38,3,2,191,2,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0
calendar/renderer.php,837,Large,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
course/index.php,36,Small,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
course/lib.php,138,Medium,50,4,3,875,3,0,0,0,0,0,8,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0
course/renderer.php,837,Large,7,3,2,249,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0
enrol/authorize/localfuncs.php,328,Large,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enrol/authorize/locallib.php,230,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enrol/authorize/uploadcsv.php,328,Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enrol/database/lib.php,138,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enrol/flatfile/lib.php,138,Medium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enrol/imsenterprise/lib.php,138,Medium,7,1,1,79,1,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enrol/ldap/lib.php,138,Medium,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enrol/paypal/lib.php,138,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enrol/self/lib.php,138,Medium,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
index.php,36,Small,219,36,5,207,5,78,0,0,14,0,0,0,0,0,0,0,32,0,0,31,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0
install.php,75,Medium,22,1,1,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/accesslib.php,138,Medium,10,1,1,40,1,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/adminlib.php,138,Medium,27,6,4,3359,4,0,0,0,0,0,0,0,21,0,22,50,0,0,0,0,0,0,0,0,0,0,0,0,0,3266,0,0,0,0,0
lib/blocklib.php,138,Medium,15,4,3,207,3,78,0,0,0,0,28,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/cronlib.php,138,Medium,5,2,2,80,2,72,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/datalib.php,138,Medium,18,2,2,392,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0,0,0,0,0
lib/db/upgrade.php,45,Small,31,29,11,706,11,273,0,38,76,0,25,0,32,0,33,77,29,0,0,42,0,0,39,0,0,0,0,0,0,42,0,0,0,0,0
lib/dml/simpletest/testdml.php,328,Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/editor/tinymce/lib.php,138,Medium,3,3,3,66,0,0,0,0,0,0,0,0,21,0,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/enrollib.php,138,Medium,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/filelib.php,138,Medium,22,10,3,174,3,0,0,0,0,0,45,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0
lib/form/editor.php,75,Medium,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/formslib.php,138,Medium,15,6,4,4455,5,50,0,0,3152,0,1234,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/grouplib.php,138,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/messagelib.php,758,Large,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/moodlelib.php,10403,Large,112,5,4,304,4,99,0,0,0,0,0,0,0,0,0,0,40,0,0,13,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0
lib/navigationlib.php,5869,Large,100,19,9,1914,13,41,0,0,24,20,49,0,0,0,0,0,0,0,0,562,0,0,0,0,565,566,30,0,0,57,0,0,0,0,0
lib/outputcomponents.php,5032,Large,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/outputrenderers.php,5190,Large,33,6,5,1893,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,617,618,82,0,0,394,0,0,0,0,0
lib/outputrequirementslib.php,2168,Large,15,4,2,51,3,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
lib/pear/HTML/QuickForm.php,2030,Large,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/portfoliolib.php,1371,Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/questionlib.php,2370,Large,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/sessionlib.php,236,Medium,16,2,2,58,2,19,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/simpletest/testweblib.php,3719,Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/upgradelib.php,78,Medium,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/uploadlib.php,51,Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/weblib.php,3719,Large,10,2,2,144,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0
