modified_Smelly_Classes,LocFixing,ChurnFxing,AddedFixing,RemovedFixing
lib/pluginlib.php,2922,24,22,2
lib/setuplib.php,470,4,2,2
lib/simpletest/fulltestaccesslib.php,257,2,1,1
lib/simpletest/testmoodlelib.php,823,3,2,1
mod/assignment/db/upgrade.php,238,2,1,1
mod/assignment/type/upload/assignment.class.php,2923,5,3,2
mod/data/db/upgrade.php,5313,2,1,1
mod/feedback/db/upgrade.php,1798,4,2,2
mod/forum/db/upgrade.php,2458,8,6,2
mod/glossary/db/upgrade.php,926,3,0,3
mod/lesson/db/upgrade.php,210,10,8,2
mod/lti/locallib.php,1484,5,5,0
mod/quiz/report/overview/db/upgrade.php,1016,6,4,2
mod/quiz/report/statistics/db/upgrade.php,4478,18,9,9
mod/resource/db/upgrade.php,2649,339,176,163
mod/scorm/datamodels/scormlib.php,493,2,1,1
mod/wiki/db/upgrade.php,48,2,1,1
question/type/match/db/upgrade.php,1804,13,12,1
question/type/numerical/db/upgrade.php,48,2,1,1
filter/algebra/algebradebug.php,1801,8,0,8
filter/mediaplugin/filter.php,664,2,1,1
grade/edit/tree/calculation.php,2650,1,1,0
lib/completion/cron.php,2103,2,1,1
lib/completionlib.php,257,2,1,1
lib/db/upgradelib.php,1231,8,4,4
lib/tablelib.php,776,17,10,7
lib/webdavlib.php,1809,59,35,24
mod/glossary/lib.php,435,9,5,4
mod/lesson/format.php,6486,4,2,2
mod/lesson/lib.php,6487,7,4,3
mod/resource/db/upgradelib.php,874,4,2,2
question/type/essay/db/upgrade.php,145,4,3,1
report/stats/lib.php,648,2,1,1
report/stats/locallib.php,2530,5,4,1
repository/s3/S3.php,1105,2,1,1
enrol/cohort/locallib.php,160,12,12,0
grade/report/user/lib.php,696,254,210,44
group/lib.php,234,2,1,1
mod/resource/lib.php,800,6,3,3
mod/scorm/lib.php,1819,25,18,7
question/format/webct/format.php,2623,1,1,0
report/log/locallib.php,476,4,3,1
auth/cas/CAS/CAS/client.php,4245,2,1,1
lib/deprecatedlib.php,2465,4,3,1
lib/eventslib.php,969,20,12,8
lib/filterlib.php,561,2,0,2
lib/flickrlib.php,561,2,0,2
mod/forum/rsslib.php,2145,2,1,1
mod/resource/locallib.php,6502,9,9,0
mod/survey/lib.php,999,4,2,2
tag/coursetagslib.php,5314,3,2,1
tag/lib.php,1538,1,1,0
cohort/locallib.php,236,2,1,1
lib/environmentlib.php,641,5,3,2
