non smelly classes,classsize,classtype,bugsafter smells,BgsBefore smells,fixingcommits,codechurn,commitsexhibiting,v2.9.2,v2.11.6,v3.2.0,v3.3.1,v3.3.6,v3.3.7,v3.3.9,v3.4.0,v3.5.2,v3.5.5,v4.0.1,v4.1.10,v4.1.13,v4.2.0,v4.2.4,v4.2.8,v4.2.9,v4.2.11,v4.2.12,v4.2.13,v4.3.3,v4.3.5,v4.3.6,v4.3.7,v4.3.9,v4.4.1,v4.4.14,v4.4.15,v4.5.0,v4.5.1,v4.5.2,v4.5.3,v4.5.3.1,v4.5.4,v4.5.5,v4.6.0,v4.6.2,v4.6.3,v4.6.4,v4.6.5,v4.6.6,v4.7.0,v4.7.2,v4.7.3,v4.7.4,v4.7.6,v4.7.8,v4.7.9,v4.8.0,v4.8.1,v4.8.4,v4.8.5,v4.9.0,v4.9.2,v4.9.4
index.php,67,Medium,35,5,3,262,4,0,0,0,0,0,157,42,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libraries/tblcommon.inc.php,49,Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tbltracking.php,647,Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
config.sample.inc.php,154,Medium,2,1,1,16,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
js/messages.php,995,Large,27,9,3,1107,3,0,0,0,0,0,69,0,1014,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/libraries/PMAdisplaychangepasswordtest.php,647,Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
url.php,43,Small,4,1,1,4,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
userpassword.php,647,Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
versioncheck.php,647,Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libraries/checkuserprivileges.lib.php,647,Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
